filename,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,DIAMETER-mean,DIAMETER-coeff-variation,DIAMETER-min,DIAMETER-max,DIAMETER-entropy,DIAMETER-featuretime,cl-num-mean,cl-num-coeff-variation,cl-num-min,cl-num-max,cl-num-q90,cl-num-q10,cl-num-q75,cl-num-q25,cl-num-q50,cl-size-mean,cl-size-coeff-variation,cl-size-min,cl-size-max,cl-size-q90,cl-size-q10,cl-size-q75,cl-size-q25,cl-size-q50,cl-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
0,195,859,195,859,0,0,0,0.227008149,1,0,1,1,0,0.010728038,0.425224408,0.005128205,0.066666667,0.147479159,0.005820722,0.984866123,0.986030268,0,0.010728038,0.353292663,0.001164144,0.016298021,2.200026818,0.88033115,0.119136993,0.333333333,1,1.743019836,0.010059401,0.352079371,0.001164144,0.015133877,2.053795309,0.983701979,0.015772664,0.503045809,0,0.027939464,0,0.002913749,4.527219905,0,0.181606519,1.13506595,0.676311856,0.517031301,0,1,1.123474876,0,4.639175258,0.161382912,1,6,0.746671291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,0.4684,1.617,52.3936,0.0980061,52,46,59,3.18935,0.169863,0.988293,0.007183,0.7,1.0201,1.12646,52.3273,0.0976068,52,46,59,2.37533,0.465176,0.990957,0.00718075,0.82,0.680919956,0.980118102,2
1,100,260,100,260,0,0,0,0.384615385,0.5,0.577350269,0.333333333,1,0.562335145,0.03,0,0.03,0.03,0,0,0,1,0,0.03,0.409052721,0.011538462,0.073076923,2.415459533,0.37402362,0.266711184,0,1,2.823633116,0.016153846,0.508432298,0,0.05,2.082160982,0.538461538,0.055,0.371551827,0.023076923,0.119230769,0,0.042662722,0.331703048,0.007692308,0.096153846,2.660631042,0.206934764,0.363528672,0.089230769,0.666666667,2.842089831,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,0.0237,7.07819,18.4246,0.159216,18,15,22,1.47741,0.187797,0.949001,0.045705,0.24,0.0645,4.05913,18.3331,0.160686,18,15,22,1.17233,0.40578,0.948909,0.0472292,0.26,0.826855,0.992355151,1.71
3,168487,103266,9270,103266,17.17551241,0,0.07,0.089768172,0.428556809,0.740385617,0,1,2.070060155,0.000481798,0.851778982,0.000107875,0.003344121,1.865521007,0.001607499,0.240969922,0.463066256,0.01,0.00032215,0.919662268,0.000019367,0.001355722,2.647228292,0.747713708,0.330806866,0,0.951219512,2.36591917,0.000231945,0.501711254,0.000019367,0.000387349,2.571075736,0.371303236,0.000292568,0.630428113,0.000009684,0.000823117,3.85,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,10.03939593,0.103603192,8,12,1.440256288,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,2.2,1.08521,3537.2,0.0116107,3526,3506,3528,0.68899,0.306666,0.96187,0.00222915,2.06,377.348,0.0741488,3331.96,0.218314,3480,3426,3528,0.244683,2.58935,0.99644,0.0100089,2.41,0.002323005,0.011898307,2
4,172183,106226,9550,106226,17.02963351,0,0.06,0.08990266,0.427975371,0.740796964,0,1,2.090052391,0.000470748,0.85323541,0.000104712,0.003246073,1.905946193,0.001562706,0.242727769,0.46145953,0.01,0.000273671,1.0455685,0.000018828,0.001317945,2.647655618,0.646071344,0.400425331,0,0.951219512,2.315095296,0.000197915,0.642900745,0.000018828,0.000376556,2.531890563,0.373006609,0.000247546,0.775236779,0.000009414,0.000800181,3.87,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,9.006134969,0.115194028,7,11,1.438162257,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,4.4,1.60384,3618,0.0161201,3620,3553,3670,0.86525,0.515613,0.962534,0.00253351,2.1,382.818,0.0824266,3478.59,0.22361,3640,3586,3679,0.254758,2.57402,0.996986,0.010082,2.32,0.002247683,0.010609093,2
5,100,300,100,300,0,0,0,0.333333333,0.488888889,0.576753525,0.333333333,1,0.543272781,0.03,0,0.03,0.03,0,0,0,1,0,0.03,0.338478805,0.01,0.056666667,2.429082996,0.38726314,0.249330881,0,1,3.052757756,0.0162,0.484322105,0.003333333,0.036666667,2.151353912,0.54,0.054866667,0.321868887,0.016666667,0.093333333,0,0.039466667,0.329367347,0.01,0.083333333,2.715493803,0.194330052,0.38534737,0.0995671,0.833333333,2.936392497,0,3.96969697,0.043182094,3,4,0.135793959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,0.0503,4.70361,19.4893,0.157386,19,16,23,1.58584,0.188403,0.9531,0.040595,0.29,0.0891,3.38138,19.4829,0.158184,19,16,23,1.26071,0.400654,0.954196,0.0405234,0.28,0.811671,0.991589984,1.87
6,84398,43769,3978,43769,20.21618904,0,0.04,0.090886244,0.434510867,0.949769191,0,1,1.969877451,0.001519679,1.441004549,0.000251383,0.008547009,1.670601624,0.004340972,0.557563572,0.726335991,0,0.001101651,1.546813697,0.000114236,0.007174027,2.738698331,0.796974342,0.281661199,0,0.951219512,2.344000164,0.00058655,0.440192128,0.000045694,0.000913889,2.681086961,0.552514337,0.000849501,0.79337559,0.000045694,0.002992986,0.87,-1,0,-1,0,-512,-1,0,-1,0,0,20.03,7.826267664,0.102005214,6,10,1.163885219,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,3.58824,1.36905,1535.71,0.0182672,1534,1500,1566,1.3241,0.840988,0.981404,0.0029748,2.11,105.021,0.147211,1493.94,0.150322,1530,1481,1565,0.181418,3.76573,0.995036,0.00479165,2.71,0.002654855,0.015842675,2
7,102057,57609,5890,57609,16.32716469,0,0.04,0.102240969,0.447568416,0.788901396,0,1,2.096636274,0.000780539,1.054477236,0.000169779,0.005263158,1.924913763,0.003298096,0.333767293,0.558298183,0.01,0.000612278,0.864206888,0.000086792,0.002430176,2.663082275,0.794080416,0.282031698,0,0.951219512,2.319287577,0.000440588,0.43630111,0.000034717,0.000694336,2.553274282,0.449009703,0.000557047,0.566589801,0.000034717,0.001475464,1.45,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,9.259823009,0.108798746,7,11,1.409407858,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,2,1.73205,2134.45,0.0159997,2125,2096,2178,0.605867,0.659372,0.962953,0.00420774,2.09,227.875,0.0621499,2143.32,0.0169338,2149.5,2090,2191,0.0761818,0.19501,0.993577,0.00173816,2.73,0.002238661,0.017180891,2
8,179587,110966,9790,110966,17.34392237,0,0.07,0.088225222,0.426583817,0.734735312,0,1,2.068045972,0.000455756,0.830079933,0.000102145,0.003166496,1.863539011,0.001495954,0.232900168,0.453463223,0.02,0.000212994,1.23793169,0.000018024,0.001261648,2.324506706,0.517375362,0.441466787,0,0.951219512,2.105691054,0.000154908,0.828131688,0.000018024,0.000360471,2.261826038,0.364102518,0.000191169,0.980837078,0.000009012,0.000766,4.09,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,10.01041667,0.104468494,8,12,1.444760935,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,771.4,2.23172,2976.8,0.559074,3708,0,3710,2.14251,1.51716,1.06952,0.225589,2.12,398.2,0.0543864,3722.55,0.00810339,3720.5,3677,3754,0.155423,1.07247,0.995355,0.00157529,2.3,0.002186283,0.010634429,2
9,1920,2287,1166,2287,0.646655232,0,0,0.509838216,0.333624836,0.874738076,0,1,1.292403601,0.003108404,0.146224349,0.000857633,0.003430532,0.734514981,0.000437254,0.022299956,0.352864014,0,0.004179993,0.841189114,0.000874508,0.010494097,1.508248201,0.019056684,0.048924904,0,0.25,0.593921382,0.001364477,0.873103433,0,0.003498032,1.671766492,0.338434631,0.003139573,0.69289366,0.000874508,0.007870573,0.01,0.009768718,0.200381184,0.000874508,0.013117621,2.78173545,0.406141147,0.140195741,0.286153846,1,2.970498575,0.08,26.88164666,0.167535704,20,39,2.796056129,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,0.00818382,46.5393,115.995,0.0582246,116,107,125,0.782948,0.137506,0.8481,0.0280365,2.22,8.45429,0.369081,116.09,0.0594011,116,107,125,0.0703779,0.470262,0.885633,0.0306084,4.04,0.096980534,0.316684487,2
12,4431,5140,4053,5140,0.093264249,0,0,0.788521401,0.797254999,0.437900867,0,1,1.028831382,0.000431347,0.807128758,0.000246731,0.002714039,1.059948261,0.712840467,0.774513619,0.867509728,0,0.000382617,2.36755541,0.000194553,0.024124514,0.456838453,0.943344047,0.213702889,0,1,0.433344474,0.000268371,1.421985255,0,0.008754864,0.411232759,0.860116732,0.000194053,4.239403356,0,0.009338521,0.05,0.002091402,2.033591368,0,0.029571984,1.783531964,0.069671428,1.989219175,0,0.666666667,1.689451807,0.2,1.772704837,1.351661313,1,11,0.457715705,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,4.36571,18.7083,1889.76,0.0558818,1893,1857,1935,1.0025,0.0225205,1.00017,0.158104,2.1,4.00428,11.6701,1896.33,0.0294628,1897,1858,1936,0.46625,0.358197,1.00189,0.356499,3.56,0.000596735,0.017663484,0.31
