filename,c2d,filename,nus,filename,d4,filename,mcsim,filename,sharpsat-td,filename,count_bareganak,filename,dpmc,filename,gpmc,filename,mctw2
0,128.85,0,1800,0,80.81,0,336.87,0,58.02,0,559.75,0,1800,0,308.78,0,1800
1,1800,1,1800,1,1800,1,806.24,1,1389.49,1,1800,1,1800,1,1069.3,1,1800
3,225.54,3,1800,3,1800,3,1800,3,63.51,3,1800,3,1800,3,1800,3,1800
4,194.93,4,1800,4,1800,4,1800,4,78.4,4,1800,4,1800,4,1800,4,1800
5,1800,5,1800,5,1800,5,1103.05,5,1617.34,5,1800,5,1800,5,1248.22,5,1800
6,1800,6,1800,6,1027.4,6,1800,6,18.51,6,1800,6,412.43,6,1800,6,1800
7,159.19,7,1800,7,1545.08,7,1800,7,22.66,7,1800,7,682.03,7,1800,7,1800
8,250.05,8,1800,8,1800,8,1800,8,71.66,8,1800,8,1800,8,1800,8,1800
9,1800,9,811.4,9,844.03,9,1800,9,33.63,9,1800,9,0.4,9,1800,9,1800
12,32.09,12,26.76,12,422.63,12,1800,12,18.66,12,26.87,12,0.63,12,1800,12,618.66
13,25.71,13,60.06,13,516.11,13,1800,13,13.89,13,59.99,13,60.34,13,1800,13,497.54
17,1800,17,1800,17,1800,17,1800,17,1327.87,17,1255.31,17,1800,17,1044.46,17,1800
18,1800,18,1800,18,384.86,18,1800,18,607.81,18,1800,18,1800,18,1800,18,1800
19,369.91,19,1800,19,1800,19,1800,19,99.56,19,1800,19,1800,19,1800,19,1800
21,1800,21,582.15,21,1800,21,770.68,21,770.68,21,557.41,21,1800,21,1800,21,1800
23,1376.35,23,490.07,23,1800,23,397.38,23,397.38,23,5.12,23,1800,23,1800,23,1800
24,1800,24,1800,24,1800,24,1029.43,24,1374.27,24,899.66,24,1800,24,28.41,24,1800
27,1800,27,1800,27,485.72,27,1800,27,400.09,27,1800,27,150.2,27,1751.74,27,1800
28,1800,28,1800,28,958.71,28,1800,28,1167.66,28,1800,28,1800,28,1800,28,1800
29,53.26,29,1800,29,1171.49,29,1800,29,15.92,29,1800,29,504.39,29,1800,29,1800
30,1800,30,222.18,30,1800,30,179.89,30,1800,30,226.8,30,1800,30,1800,30,1800
31,1800,31,1800,31,1800,31,1663.21,31,1800,31,1800,31,1800,31,964.34,31,1800
32,418.72,32,73.4,32,1800,32,1800,32,13.99,32,73.02,32,424.54,32,1800,32,1800
33,1800,33,1800,33,1800,33,1800,33,1612.99,33,1800,33,263.12,33,1800,33,1800
34,1800,34,1800,34,388.38,34,988.29,34,218.47,34,1031.02,34,1800,34,1800,34,1800
37,1800,37,524.2,37,1800,37,1800,37,94.45,37,522.34,37,124.7,37,1800,37,1800
38,1800,38,50.28,38,212.95,38,5.13,38,1800,38,47.65,38,1800,38,51.39,38,1800
39,1800,39,1800,39,166.63,39,1800,39,211.23,39,1800,39,1800,39,1800,39,1800
41,1413.46,41,535.02,41,1800,41,427.29,41,956.13,41,582.43,41,1800,41,1800,41,1800
42,782.9,42,1800,42,1800,42,1800,42,87.13,42,1800,42,1800,42,1800,42,1800
44,119.77,44,560.57,44,1800,44,1800,44,13.77,44,563.03,44,1800,44,1800,44,1800
45,1800,45,1789.3,45,1800,45,1800,45,1486.27,45,1800,45,1800,45,770.54,45,1800
46,546.35,46,558.19,46,1800,46,1800,46,35.08,46,1423.07,46,103.38,46,1800,46,1800
47,23.92,47,20.73,47,1345.88,47,1800,47,47.45,47,20.23,47,9.16,47,1800,47,1800
48,18.94,48,505.5,48,429.72,48,1800,48,79.89,48,505.83,48,1800,48,1800,48,1800
51,982.35,51,465.17,51,1800,51,1800,51,13.38,51,524.98,51,1800,51,1800,51,1800
53,209.2,53,1800,53,1800,53,1800,53,37.77,53,1800,53,1214.34,53,1800,53,1800
54,1800,54,505.96,54,368.34,54,1800,54,31.6,54,505.96,54,540.93,54,1800,54,1800
56,1199.47,56,310.27,56,1450.13,56,182.14,56,20.2,56,310.27,56,624.79,56,1800,56,1800
58,1800,58,1800,58,1800,58,1068.03,58,1800,58,1800,58,1800,58,1377.43,58,1800
60,53.88,60,557.39,60,1800,60,1800,60,12.93,60,1421.49,60,1800,60,1800,60,1800
61,213.33,61,520.16,61,1800,61,1800,61,6.47,61,1400.14,61,1800,61,1800,61,1800
62,1800,62,1800,62,1058.9,62,1800,62,406.75,62,1800,62,1800,62,1800,62,1800
64,1800,64,568.04,64,1800,64,1800,64,954.4,64,1420.05,64,21.84,64,1800,64,1800
65,1800,65,563.76,65,1800,65,1800,65,514.07,65,1406.27,65,21.45,65,1800,65,1800
67,92.72,67,1800,67,1800,67,1800,67,29.76,67,1800,67,1081.58,67,1800,67,1800
70,178.74,70,523.24,70,1800,70,1800,70,9.56,70,1402.96,70,1800,70,1800,70,1800
71,53.21,71,87.35,71,1800,71,1800,71,1800,71,84.77,71,0.38,71,1800,71,15.09
73,109.95,73,579.65,73,1800,73,1800,73,23.81,73,1440.86,73,1800,73,1800,73,1800
74,1800,74,151.04,74,373.78,74,1800,74,52.07,74,150.34,74,1800,74,1117.25,74,200.71
77,563.66,77,146.84,77,1800,77,516.16,77,954.04,77,200.28,77,1800,77,1800,77,1800
79,32.03,79,26.9,79,426.93,79,1800,79,18.2,79,26.68,79,0.63,79,1800,79,626.35
81,794.21,81,563.08,81,1800,81,1800,81,16.52,81,1435.78,81,1800,81,1800,81,1800
83,1800,83,565.47,83,1800,83,1800,83,80.03,83,1436.05,83,1800,83,1800,83,1800
84,285.43,84,414.06,84,1800,84,376.3,84,1800,84,414.31,84,1800,84,1800,84,1800
85,5.08,85,23.26,85,1199.04,85,1800,85,14.96,85,23.24,85,0.29,85,1800,85,2.21
86,1800,86,1800,86,1800,86,1800,86,394.67,86,1800,86,1087.81,86,1800,86,1800
87,48.22,87,505.48,87,1696.4,87,1800,87,44.35,87,1394.54,87,1800,87,1800,87,1800
88,430.58,88,1800,88,1800,88,1800,88,107.59,88,1800,88,1800,88,1800,88,1800
